,University,Course,Term,Deadline,Rank,Rate,City/State
0,University of Arizona,Computer and Information Systems Security (Masters),Fall (Round 1),"03 Aug, 2020 View",43,3.1,"Tucson, AZ"
0,Northwestern University,Information Technology (Masters),Fall,"01 Sep, 2020 View",30,3.4,"Evanston, IL"
1,University of Arizona,Computer and Information Systems Security (Masters),Fall (Round 2),"05 Oct, 2020 View",43,3.1,"Tucson, AZ"
2,Johns Hopkins University,Computer and Information Systems Security (Masters),Fall (Round 1),"30 Oct, 2020 View",25,3.6,"Baltimore, MD"
3,Arizona State University,Computer Science (Masters),Fall,"01 Dec, 2020 View",43,3.1,"Tempe, AZ"
4,Ohio State University,Computer Science (Masters),Fall,"01 Dec, 2020 View",30,3.4,"Columbus, OH"
5,Massachusetts Institute of Technology,Computer Science (Masters),Fall,"15 Dec, 2020 View",1,5,"Cambridge, MA"
6,University of Virginia,Computer Science (Masters),Fall (Financial Aid),"15 Dec, 2020 View",30,3.4,"Charlottesville, VA"
7,Princeton University,Computer Science (Masters),Fall,"15 Dec, 2020 View",8,4.4,"Princeton, NJ"
0,Harvard University,Computer Science (Masters),Fall,"15 Dec, 2020 View",16,4,"Cambridge, MA"
1,Iowa State University,Computer Science (Masters),Fall,"15 Dec, 2020 View",61,2.7,"Ames, IA"
2,Carnegie Mellon University,Computational Electrical & Computer Engineering (Masters),Fall (Early Action),"15 Dec, 2020 View",1,5,"Pittsburgh, PA"
3,Carnegie Mellon University,Advanced Software Engineering (Masters),Fall (Early Action),"15 Dec, 2020 View",1,5,"Pittsburgh, PA"
4,Princeton University,Computer Science (Masters),Fall,"15 Dec, 2020 View",8,4.4,"Princeton, NJ"
5,Virginia Tech,Computer Science (Masters),Fall,"20 Dec, 2020 View",40,3.2,"Blacksburg, VA"
6,Arizona State University,Computer Engineering (Masters),Fall,"31 Dec, 2020 View",43,3.1,"Tempe, AZ"
7,Michigan State University,Computer Science (Masters),Fall (Final Deadline),"31 Dec, 2020 View",55,2.9,"East Lansing, MI"
